C_ID,Country
1,Albania
2,Angola
3,Australia
4,Austria
5,Azerbaijan
6,Bangladesh
7,Belize
8,Brunei
9,Bulgaria
10,Burkina Faso
11,Cameroon
12,Cape Verde
13,Comoros
14,Costa Rica
15,Cote d'Ivoire
16,Democratic Republic of the Congo
17,Djibouti
18,East Timor
19,Federated States of Micronesia
20,Fiji
21,France
22,Gabon
23,Grenada
24,Haiti
25,Honduras
26,Iceland
27,Iran
28,Kenya
29,Kiribati
30,Kuwait
31,Kyrgyzstan
32,Laos
33,Lebanon
34,Lesotho
35,Libya
36,Lithuania
37,Macedonia
38,Madagascar
39,Malaysia
40,Mali
41,Mauritania
42,Mexico
43,Moldova 
44,Monaco
45,Mongolia
46,Mozambique
47,Myanmar
48,New Zealand
49,Nicaragua
50,Niger
51,Norway
52,Pakistan
53,Portugal
54,Republic of the Congo
55,Romania
56,Russia
57,Rwanda
58,Samoa 
59,San Marino
60,Sao Tome and Principe
61,Saudi Arabia
62,Senegal
63,Sierra Leone
64,Slovakia
65,Slovenia
66,Solomon Islands
67,South Sudan
68,Spain
69,Sri Lanka
70,Switzerland
71,Syria
72,The Gambia
73,Turkmenistan
74,Tuvalu
75,United Kingdom
76,Zambia
