Region,Country,Item Type,Sales Channel,Order Date,Order ID,Ship Date,Units Sold,Unit Price,Unit Cost
4,43,1,1,5/29/2012,688288152,6/2/2012,8614,255.28,159.42
4,49,2,1,7/18/2014,435608613,7/30/2014,5124,47.45,31.79
4,64,2,1,10/23/2016,345718562,11/25/2016,4660,47.45,31.79
4,37,4,1,10/14/2014,787399423,11/14/2014,7842,109.28,35.84
4,4,5,1,2/23/2015,868214595,3/2/2015,2847,437.2,263.33
4,69,5,1,9/17/2012,249693334,10/20/2012,8661,437.2,263.33
4,67,7,1,10/21/2012,213487374,11/30/2012,4513,668.27,502.54
4,36,9,1,10/24/2010,166460740,11/17/2010,8287,651.21,524.96
4,54,9,1,5/2/2014,341417157,5/8/2014,1779,651.21,524.96
4,49,1,2,5/14/2014,819028031,6/28/2014,7450,255.28,159.42
4,51,1,2,7/31/2015,860673511,9/3/2015,1273,255.28,159.42
4,57,1,2,6/26/2013,569662845,7/1/2013,4750,255.28,159.42
4,1,4,2,2/2/2010,385383069,3/18/2010,2269,109.28,35.84
4,9,4,2,4/23/2012,972292029,6/3/2012,1673,109.28,35.84
4,21,5,2,5/22/2017,898523128,6/5/2017,1815,437.2,263.33
4,26,5,2,12/31/2016,331438481,12/31/2016,8867,437.2,263.33
4,53,5,2,11/26/2010,660643374,12/25/2010,7910,437.2,263.33
4,74,7,2,1/5/2012,955357205,2/14/2012,282,668.27,502.54
4,9,9,2,2/16/2012,189965903,2/28/2012,3987,651.21,524.96
4,43,10,2,5/7/2016,740147912,5/10/2016,5070,81.73,56.67
4,69,10,2,12/23/2010,617667090,1/31/2011,273,81.73,56.67
4,64,12,2,10/6/2012,759224212,11/10/2012,171,154.06,90.93
