Region,Country,Item Type,Sales Channel,Order Date,Order ID,Ship Date,Units Sold,Unit Price,Unit Cost
1,68,5,1,11/19/2016,419123971,12/18/2016,6952,437.2,263.33
1,39,6,1,11/11/2011,810711038,12/28/2011,6267,9.33,6.92
1,45,7,1,1/16/2015,177713572,3/1/2015,8250,668.27,502.54
1,72,7,1,12/30/2010,441619336,1/20/2011,3830,668.27,502.54
1,43,10,1,2/19/2014,832401311,2/23/2014,4901,81.73,56.67
1,32,12,1,9/15/2011,789176547,10/23/2011,3732,154.06,90.93
1,6,4,2,1/13/2017,187310731,3/1/2017,8263,109.28,35.84
1,45,4,2,11/14/2015,223359620,11/18/2015,5930,109.28,35.84
1,8,9,2,4/1/2012,320009267,5/8/2012,6708,651.21,524.96
1,72,9,2,4/23/2013,462405812,5/20/2013,5010,651.21,524.96
1,31,12,2,6/24/2011,814711606,7/12/2011,124,154.06,90.93
2,73,1,1,5/28/2010,669165933,6/27/2010,9925,255.28,159.42
2,3,2,1,7/7/2014,240470397,7/11/2014,9389,47.45,31.79
2,3,3,1,6/9/2013,450563752,7/2/2013,682,205.7,117.11
2,20,4,1,6/30/2010,647876489,8/1/2010,9905,109.28,35.84
2,65,1,2,2/4/2015,547995746,2/21/2015,2974,255.28,159.42
2,19,2,2,10/28/2014,217221009,11/15/2014,9379,47.45,31.79
2,56,5,2,7/20/2013,670854651,8/7/2013,9654,437.2,263.33
2,29,6,2,10/13/2014,347140347,11/10/2014,5398,9.33,6.92
2,46,6,2,9/8/2014,142278373,10/4/2014,2187,9.33,6.92
2,18,8,2,7/31/2012,322067916,9/11/2012,5908,421.89,364.69
2,3,9,2,10/27/2015,158535134,11/25/2015,2924,651.21,524.96
3,47,2,1,2/8/2011,963392674,3/21/2011,8156,47.45,31.79
3,7,4,1,7/25/2016,807025039,9/7/2016,5498,109.28,35.84
3,24,5,1,10/13/2013,505716836,11/16/2013,1705,437.2,263.33
3,25,7,1,2/8/2017,522840487,2/13/2017,8974,668.27,502.54
3,14,10,1,5/8/2017,456767165,5/21/2017,6409,81.73,56.67
3,23,3,2,8/22/2012,963881480,9/15/2012,2804,205.7,117.11
3,25,11,2,6/30/2016,795490682,7/26/2016,2225,152.58,97.44
4,43,1,1,5/29/2012,688288152,6/2/2012,8614,255.28,159.42
4,49,2,1,7/18/2014,435608613,7/30/2014,5124,47.45,31.79
4,64,2,1,10/23/2016,345718562,11/25/2016,4660,47.45,31.79
4,37,4,1,10/14/2014,787399423,11/14/2014,7842,109.28,35.84
4,4,5,1,2/23/2015,868214595,3/2/2015,2847,437.2,263.33
4,69,5,1,9/17/2012,249693334,10/20/2012,8661,437.2,263.33
4,67,7,1,10/21/2012,213487374,11/30/2012,4513,668.27,502.54
4,36,9,1,10/24/2010,166460740,11/17/2010,8287,651.21,524.96
4,54,9,1,5/2/2014,341417157,5/8/2014,1779,651.21,524.96
4,49,1,2,5/14/2014,819028031,6/28/2014,7450,255.28,159.42
4,51,1,2,7/31/2015,860673511,9/3/2015,1273,255.28,159.42
4,57,1,2,6/26/2013,569662845,7/1/2013,4750,255.28,159.42
4,1,4,2,2/2/2010,385383069,3/18/2010,2269,109.28,35.84
4,9,4,2,4/23/2012,972292029,6/3/2012,1673,109.28,35.84
4,21,5,2,5/22/2017,898523128,6/5/2017,1815,437.2,263.33
4,26,5,2,12/31/2016,331438481,12/31/2016,8867,437.2,263.33
4,53,5,2,11/26/2010,660643374,12/25/2010,7910,437.2,263.33
4,74,7,2,1/5/2012,955357205,2/14/2012,282,668.27,502.54
4,9,9,2,2/16/2012,189965903,2/28/2012,3987,651.21,524.96
4,43,10,2,5/7/2016,740147912,5/10/2016,5070,81.73,56.67
4,69,10,2,12/23/2010,617667090,1/31/2011,273,81.73,56.67
4,64,12,2,10/6/2012,759224212,11/10/2012,171,154.06,90.93
5,35,4,1,10/30/2010,705784308,11/17/2010,6116,109.28,35.84
5,50,5,1,7/5/2013,231145322,8/16/2013,9892,437.2,263.33
5,59,3,2,3/25/2013,844530045,3/28/2013,4063,205.7,117.11
5,33,4,2,9/18/2012,663110148,10/8/2012,7884,109.28,35.84
5,5,5,2,2/6/2010,382392299,2/25/2010,7234,437.2,263.33
5,27,5,2,11/15/2016,286959302,12/8/2016,6489,437.2,263.33
5,30,6,2,4/30/2012,513417565,5/18/2012,522,9.33,6.92
5,35,6,2,8/14/2015,816200339,9/30/2015,673,9.33,6.92
5,70,6,2,11/22/2011,162052476,12/3/2011,3784,9.33,6.92
5,5,9,2,6/13/2012,423331391,7/24/2012,2021,651.21,524.96
6,71,1,1,2/3/2014,494747245,3/20/2014,5559,255.28,159.42
6,11,2,1,4/1/2015,519820964,4/18/2015,5430,47.45,31.79
6,58,2,1,1/16/2011,180283772,1/21/2011,8829,47.45,31.79
6,13,3,1,3/29/2016,902102267,4/29/2016,962,205.7,117.11
